Class	ID	Text
case-report	AHA323662	Challenges for Allogeneic Hematopoietic Stem Cell Transplantation in Chronic Myeloid Leukemia in the Era of Tyrosine Kinase Inhibitors Challenges for Allogeneic Hematopoietic Stem Cell Transplantation in Chronic Myeloid Leukemia in the Era of Tyrosine Kinase Inhibitors Following the introduction of the tyrosine kinase inhibitor (TKI) imatinib in the treatment of chronic myeloid leukemia (CML) patients, the allogeneic hematopoietic stem cell transplantation (HSCT) scene in CML has changed dramatically. The number of patients receiving HSCT in first chronic phase (CP) has declined rapidly, as allogeneic HSCT in CP is now performed in these patients only in case of failure or intolerance of TKIs. Second, those CML patients who undergo allogeneic HSCT represent a selection of high-risk patients due to more advanced disease with high rates of accelerated or blast phase (being associated with an increased relapse risk), advanced age and relevant co-morbidities. Efforts at meeting these special challenges are being developed: treatment with TKIs aims to improve the pre-transplant remission status before HSCT. Dose-reduced conditioning protocols were introduced to decrease transplant-related mortality in patients with co-morbidities or older age. In the post-transplant period, TKIs may be administered for prophylaxis and for treatment of post-transplant relapse. Still, the outcome of patients in advanced CML phases remains guarded, and requires an improvement in current transplant strategies.
systematic-review	AHA328417	A Systematic Review on the Use of Bortezomib in Multiple Myeloma Patients with Renal Impairment: What Is the Published Evidence? A Systematic Review on the Use of Bortezomib in Multiple Myeloma Patients with Renal Impairment: What Is the Published Evidence? This report presents the totality of evidence through a systematic review that assessed either the efficacy or safety of bortezomib-based regimens in multiple myeloma with renal impairment. A systematic and comprehensive search of the literature was performed using MEDLINE databases from 1978 to December 1, 2010, and a hand search of references. We used the following medical subject headings (MESH) to identify potential studies: ‘myeloma renal failure’ (1,225 hits) and ‘bortezomib’ (2,554 hits). An additional search performed by combining the MESH terms ‘myeloma renal failure’ and ‘bortezomib’ yielded 50 citations. Five additional case-control studies judged relevant for the purpose of study were also included. In total, 6 case reports, 9 case series and 9 case-control studies were identified that reported on myeloma, renal failure and bortezomib. In this review, only the case series and case-control studies were considered. The results of our search led to the following conclusions: (1) bortezomib is feasible and well tolerated and its efficacy and safety are not substantially modified by renal failure patients, (2) renal failure should not induce physicians to reduce doses, since the efficacy of bortezomib is attained also in dialyzed patients who may achieve dialysis independence, and (3) standard doses of bortezomib (i.e. 1.3 mg/m2 on days 1, 4, 8, 11) associated with dexamethasone yield satisfactory tumor response, generally obtained shortly after starting therapy. Although many questions remain unanswered, our effort should be considered a relevant scientific and practical address for generating a diagnostic and therapeutic algorithm to be used in patients with renal impairment related to multiple myeloma.
research-article	AHA345418	"Specific Binding of Paraprotein to Platelet Receptors as a Cause of Platelet Dysfunction in Monoclonal Gammopathies Specific Binding of Paraprotein to Platelet Receptors as a Cause of Platelet Dysfunction in Monoclonal Gammopathies The study included 48 untreated patients with monoclonal gammopathies (MG). Paraprotein was isolated from the serum of 10 patients with decreased platelet aggregation. Platelet aggregation was measured before and after the addition of the isolated paraprotein to platelet-rich plasma (PRP) from 10 healthy donors, in vitro. Expression of platelet von Willebrand factor (vWF) receptor glycoprotein (GP)Ib and platelet collagen receptor GPVI was determined by flow cytometry in the PRP of healthy donors before and after the addition of isolated paraprotein using the monoclonal antibodies, CD42b (for GPIb) and CD36 (for GPVI). Flowcytometry showed that expression of CD42b and CD36 positive cells was reduced after the addition of isolated paraprotein to PRP from healthy donors (p &lt; 0.001). These investigations demonstrated that paraprotein causes platelet dysfunction in patients with MG due to specific binding to the platelet vWF receptor GPIb and platelet collagen receptor GPVI."
research-article	AHA346436	"Prognostic Significance of Pretreatment 18F-FDG PET/CT in Patients with Relapsed/Refractory B-Cell Non-Hodgkin's Lymphoma Treated by Radioimmunotherapy Using 131I-Rituximab Prognostic Significance of Pretreatment 18F-FDG PET/CT in Patients with Relapsed/Refractory B-Cell Non-Hodgkin's Lymphoma Treated by Radioimmunotherapy Using 131I-Rituximab Aims: It was the aim of this paper to identify prognostic factors in patients with relapsed or refractory B-cell non-Hodgkin's lymphomas, treated by radioimmunotherapy (RIT) with radioiodinated human/murine chimeric anti-CD20 monoclonal antibody rituximab (131I-rituximab). Methods: Twenty-four patients were enrolled prospectively and were treated with unlabeled rituximab 70 mg and a therapeutic activity (median 7.3 GBq) of 131I-rituximab. Contrast-enhanced 18F-FDG PET/CT scans were performed before and after 1 month of RIT. Tumor sizes and maximum standardized uptake values (SUVmax) of scans were measured. Results: Four of the 24 patients survived. High SUVmax in a pretreatment scan was found to be related to poorer overall survival (OS) and progression-free survival (p = 0.04 and 0.02, respectively). Furthermore, a large tumor size in a pretreatment scan was associated with poorer OS but not with progression-free survival (p &lt; 0.01 and p = 0.07, respectively). By multivariate analyses, a high SUVmax, a large tumor size in a pretreatment scan and diffuse large B-cell lymphoma histology were significantly associated with poorer OS [p = 0.04/hazard ratio (HR) = 3.54, p &lt; 0.01/HR = 5.52, and p = 0.02/HR = 3.38, respectively). Conclusion: SUVmax and tumor size determined by a pretreatment 18F-FDG PET/CT result as significant predictors of OS in patients with relapsed or refractory B-cell non-Hodgkin's lymphoma treated by RIT."
research-article	AHA346441	Inhibition of miR-21 Induces Biological and Behavioral Alterations in Diffuse Large B-Cell Lymphoma Inhibition of miR-21 Induces Biological and Behavioral Alterations in Diffuse Large B-Cell Lymphoma MicroRNA-21 (miR-21) has been ascribed a key role in many cellular processes, e.g. tumorigenesis via inhibition of target gene expression. However, its role in diffuse large B-cell lymphoma (DLBCL) is still unclear, and there are no in-depth studies on the relationship between miR-21 and the cellular phenotype of DLBCL. In this study, we investigated the expression and role of miR-21 in the regulation of cell biological processes in DLBCL. Firstly, miR-21 expression was evaluated in three DLBCL cell lines by real-time quantitative reverse-transcription (qRT) polymerase chain reaction (PCR). Then, to determine the possible role of miR-21 in the biological and behavioral characteristics of DLBCL, we performed miR-21 knockdown by transfection with anti-miR-21. In addition, PDCD4 and PTEN were assessed by luciferase reporter assay, qRT-PCR, and Western blot. Our study revealed that miR-21 was significantly upregulated in activated B-cell-like DLBCL cells compared to germinal center-like DLBCL cells. We demonstrated that inhibition of miR-21 induced suppression of proliferation and invasion, as well as increased apoptosis in DLBCL. Moreover, knockdown of miR-21 increased PDCD4 and PTEN expression at the protein level but not at the mRNA level. In conclusion, miR-21 can regulate proliferation, invasion, and apoptosis, and thus it has a potential therapeutic application in DLBCL.
meta-analysis	AHA358579	"Allogeneic Stem-Cell Transplantation for Peripheral T-Cell Lymphoma: A Systemic Review and Meta-Analysis Allogeneic Stem-Cell Transplantation for Peripheral T-Cell Lymphoma: A Systemic Review and Meta-Analysis Peripheral T-cell lymphoma (PTCL) comprises a heterogeneous group of mature T-cell tumors with a poor prognosis; allogeneic stem cell transplantation (allo-SCT) may offer a potential way of cure for these patients though the optimal type and timing of transplantation remain to be defined. We performed a systemic review and meta-analysis examining the efficacy and safety of allo-SCT for PTCL. The pooled 3-year overall survival (OS) of PTCL patients treated with allo-SCT was 49.6% (95% confidence interval, CI: 41.7-57.5%). A meta-analysis of 3-year OS in allo-SCT and autologous SCT (auto-SCT) showed no statistical difference. The rates of pooled acute graft-versus-host disease (GVHD; grade 2/4) and chronic GVHD were 26.7% (95% CI: 21.4-32.9%) and 29.9% (95% CI: 24.3-36.1%), respectively. The pooled 100-day treatment-related mortality was 24.2% (95% CI: 17.2-33.0%). Of the total study patients (n = 299), 48.5% were reported dead after allo-hematopoietic SCT, with disease progression as the first cause of death in PTCL patients. Although most studies included were retrospective and their sample size was small, existing data suggested that the group of PTCL patients receiving allo-SCT was to a great degree homogeneous regarding OS, mortality without relapse, death rate and the incidence of GVHD. The most common cause of death was disease progression. The present data did not show a difference in OS between allo- and auto-SCT in PTCL patients, but large prospective studies are needed to provide a more comprehensive understanding of the role of allo-SCT in the treatment of PTCL patients. © 2014 S. Karger AG, Basel"
systematic-review	AHA360212	Adolescents and Young Adults with Non-Hodgkin's Lymphoma: Slipping between the Cracks Adolescents and Young Adults with Non-Hodgkin's Lymphoma: Slipping between the Cracks Adolescents and young adults (AYAs) with cancer have inferior survival as compared to children. The reasons for this survival gap are multifactorial and related to psychosocial aspects, patient- and disease-related biological characteristics as well as to therapeutic approaches within this age span. Non-Hodgkin's lymphoma (NHL) comprises approximately 7% of cancer among AYAs, and patient allocation and therapy vary between health systems. In this systematic review we focus on the current biological and clinical knowledge relevant to AYAs with NHL applying these data to the clinical approach and practice. Data are insufficient to recommend a pediatric or an adult approach for AYAs with diffuse large B-cell lymphoma and anaplastic large cell lymphoma. Dose-adjusted EPOCH-R seems to be a promising, radiation-free approach for AYAs with primary mediastinal B-cell lymphoma. Limitations in data interpretation include the lack of interventional trials tailored specifically for the AYA population and the lack of uniform criteria for staging and response assessment in pediatric and adult trials.
meta-analysis	AHA369242	"Insights into the All-trans-Retinoic Acid and Arsenic Trioxide Combination Treatment for Acute Promyelocytic Leukemia: A Meta-Analysis Insights into the All-trans-Retinoic Acid and Arsenic Trioxide Combination Treatment for Acute Promyelocytic Leukemia: A Meta-Analysis Background: This study aimed to compare the curative effects of the combination therapy of all-trans-retinoic acid (ATRA) and arsenic trioxide (ATO, As2O3) with ATRA monotherapy on newly diagnosed acute promyelocytic leukemia (APL). Methods: The studies were retrieved from PubMed, EMBASE, Cochrane Library, ChinaInfo and China National Knowledge Infrastructure (CNKI) databases from the inception to June 20, 2014. Thereafter, the eligible studies were selected based on the predefined criteria, and the literature quality was assessed. The meta-analysis was conducted using Review Manager 5.2 software. The pooled effect size was relative risk (RR) and its 95% confidence interval (CI). Results: A total of 8 studies containing 480 cases were included, among which 264 were assigned to the ATRA + ATO group and the other 216 to the ATRA group. The meta-analysis showed that ATRA + ATO combination therapy significantly improved the complete remission (CR) rate (RR = 1.09, 95% CI = 1.03-1.16, p = 0.004), decreased the early mortality rate (RR = 0.42, 95% CI = 0.20-0.9, p = 0.03) and relapse rate (RR = 0.17, 95% CI = 0.07-0.42, p &lt; 0.0001), but increased the high risk of liver dysfunction (RR = 2.43, 95% CI = 1.72-3.41, p &lt; 0.00001), comparing with ATRA monotherapy. Conclusions: The ATRA + ATO combination therapy may be more effective for newly diagnosed APL with a higher CR rate but lower early mortality rate and relapse rate. However, the risks of liver damage should be of concern."
research-article	AHA369446	Apoptosis-Related Gene Expression Profile in Chronic Myeloid Leukemia Patients after Imatinib Mesylate and Dasatinib Therapy Apoptosis-Related Gene Expression Profile in Chronic Myeloid Leukemia Patients after Imatinib Mesylate and Dasatinib Therapy Background/Aims: We investigated the effects of tyrosine kinase inhibitors (TKIs) on the expression of apoptosis-related genes (BCL-2 and death receptor family members) in chronic myeloid leukemia (CML) patients. Methods: Peripheral blood mononuclear cells from 32 healthy subjects and 26 CML patients were evaluated before and after treatment with imatinib mesylate (IM) and dasatinib (DAS) by quantitative PCR. Results: Anti-apoptotic genes (c-FLIP and MCL-1) were overexpressed and the pro-apoptotic BIK was reduced in CML patients. Expression of BMF, A1, c-FLIP, MCL-1, CIAP-2 and CIAP-1 was modulated by DAS. In IM-resistant patients, expression of A1, c-FLIP, CIAP-1 and MCL-1 was upregulated, and BCL-2, CIAP-2, BAK, BAX, BIK and FASL expression was downregulated. Conclusion: Taken together, our results point out that, in CML, DAS interferes with the apoptotic machinery regulation. In addition, the data suggest that apoptosis-related gene expression profiles are associated with primary resistance to IM.
meta-analysis	AHA369522	"Association of MDM2 Polymorphism with Risk and Prognosis of Leukemia: A Meta-Analysis Association of MDM2 Polymorphism with Risk and Prognosis of Leukemia: A Meta-Analysis Objective: In this study, we performed an updated meta-analysis by summarizing all available relevant association studies to evaluate whether the murine double minute-2 (MDM2) T309G polymorphism is associated with risk of leukemia and to determine its prognostic effect. Material and Methods: Studies published in PubMed, Embase and the Cochrane Controlled Trial Register were searched till June 2014 using the search terms ‘MDM2', ‘polymorphism' and ‘leukemia'. Results: Eleven studies were included in this meta-analysis, with a total of 2,478 patients accrued. There were 8 studies providing data on single nucleotide polymorphism at position 309 (SNP309) and risk of leukemia and 7 studies providing data on SNP309 and overall survival. Our analysis showed that patients having G/G mutations had a significantly higher risk of developing leukemia (HR 1.90, 95% CI 1.56-2.31, p &lt; 0.00001), while the association between G/T and leukemia was not significant (HR 1.18, 95% CI 0.96-1.45, p = 0.11). In addition, SNP309 was not significantly associated with patient survival (HR 1.29, 95% CI 0.79-2.13, p = 0.31). Conclusions: Our meta-analysis showed that the MDM2 T309G variation, especially homozygous G/G, might be associated with an increased risk of leukemia. Additional studies are needed to confirm the findings as well as to understand the underlying mechanisms."
meta-analysis	AHA370096	"The Role of Consolidative Radiotherapy after a Complete Response to Chemotherapy in the Treatment of Diffuse Large B-Cell Lymphoma in the Rituximab Era: Results from a Systematic Review with a Meta-Analysis The Role of Consolidative Radiotherapy after a Complete Response to Chemotherapy in the Treatment of Diffuse Large B-Cell Lymphoma in the Rituximab Era: Results from a Systematic Review with a Meta-Analysis Background: The current standard therapy for patients with diffuse large B-cell lymphoma (DLBCL) is rituximab plus cyclophosphamide, doxorubicin, vincristine and prednisone (RCHOP). The role of radiotherapy (RT) after complete response (CR) to RCHOP in patients with DLBCL remains unclear. This systematic review with a meta-analysis is an attempt to evaluate this role. Methods: Studies that evaluated RT versus no-RT after CR to RCHOP for DLBCL patients were searched in databases. Hazard ratios (HR) with their respective 95% confidence intervals (CI) were calculated using a random-effects model. Results: A total of 4 qualified retrospective studies (633 patients) were included in this review. The results suggested that RT improved overall survival (OS; HR 0.33, 95% CI 0.14-0.77) and progression-free/event-free survival (PFS/EFS; HR 0.24, 95% CI 0.11-0.50) in all patients compared with no-RT. In a subgroup analysis of patients with stage III-IV DLBCL, RT improved PFS/EFS (HR 0.19, 95% CI 0.07-0.51) and local control (HR 0.12, 95% CI 0.03-0.44), with a trend of improving OS (HR 0.35, 95% CI 0.12-1.05). Conclusion: Consolidation RT could significantly improve outcomes of DLBCL patients who achieved a CR to RCHOP. However, the significance of these results was limited by these retrospective data. Further investigation of the role of consolidation RT in the rituximab era is needed."
systematic-review	AHA444514	Molecular Characteristics and Clinical Significance of 12 Fusion Genes in Acute Promyelocytic Leukemia: A Systematic Review Molecular Characteristics and Clinical Significance of 12 Fusion Genes in Acute Promyelocytic Leukemia: A Systematic Review Acute promyelocytic leukemia (APL) is characterized by the generation of the promyelocytic leukemia-retinoic acid (RA) receptor α (PML-RARα) fusion gene. PML-RARα is the central leukemia-initiating event in APL and is directly targeted by all-trans-RA (ATRA) as well as arsenic. In classic APL harboring PML-RARα transcripts, more than 90% of patients can achieve complete remission when treated with ATRA combined with arsenic trioxide chemotherapy. In the last 20 years, more than 10 variant fusion genes have been found and identified in APL patients. These variant APL cases present different clinical phenotypes and treatment outcomes. All variant APL cases show a similar breakpoint within the RARα gene, whereas its partner genes are variable. These fusion proteins have the ability to repress rather than activate retinoic targets. These chimeric proteins also possess different molecular characteristics, thereby resulting in variable sensitivities to ATRA and clinical outcomes. In this review, we comprehensively analyze various rearrangements in variant APL cases that have been reported in the literature as well as the molecular characteristics and functions of the fusion proteins derived from different RARα partner genes and their clinical implications.
